book,chapter,scene,title,virtue,has_html,has_image,has_audio,claude_thought_bubble,narrator,sir_james,claude,gramps,sparky
book002,4,2,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,4,3,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,4,4,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,4,5,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,4,6,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,4,7,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,4,8,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
book002,5,1,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,2,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,3,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,4,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,5,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,6,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,7,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,5,8,The Wise Owl's Lesson,Humility,yes,yes,yes,no,,,,,
book002,6,1,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,2,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,3,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,4,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,5,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,6,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,7,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,6,8,The Mirror of Truth,Honesty,yes,yes,yes,no,,,,,
book002,7,1,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,2,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,3,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,4,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,5,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,6,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,7,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,7,8,The Wishing Star,Hope,yes,yes,yes,no,,,,,
book002,8,1,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,2,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,3,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,4,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,5,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,6,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,7,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,8,8,The River of Stars,Kindness,yes,yes,yes,no,,,,,
book002,9,1,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,9,2,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,9,3,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,9,4,The Moonbeam Celebration,Faith,yes,no,yes,no,,,,,
book002,9,5,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,9,6,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,9,7,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,9,8,The Moonbeam Celebration,Faith,yes,yes,yes,no,,,,,
book002,10,1,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,2,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,3,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,4,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,5,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,6,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,7,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
book002,10,8,The Knight's Triumph,Perseverance,yes,yes,yes,no,,,,,
